CatalogNumber,Item Name,CAS Number,Plate Location,Rack Number,M.w.,Solvent ,Formula,SMILES,Solubility,Form,Pathway,Target,Information,URL
B1953,Indapamide,26807-65-8,C09,L1021-14,365.83,DMSO,C16H16ClN3O3S,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,insoluble in H2O; ≥12.95 mg/mL in DMSO; ≥30.3 mg/mL in EtOH,Free Base,Membrane Transporter/Ion Channel,Potassium Channel,thiazide-like diuretic drug,https://www.apexbt.com/search.php?catalog=B1953
B1954,Inulin,9005-80-5,C10,L1021-14,504.43708,H2O,C6nH10n+2O5n+1,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,insoluble in EtOH; insoluble in DMSO; ≥26.3 mg/mL in H2O,,Others,Others,starchy substance,https://www.apexbt.com/search.php?catalog=B1954
B1956,Isoconazole nitrate,24168-96-5,C11,L1021-14,479.14,DMSO,C18H14Cl4N2O·HNO3,C1=CC(=C(C(=C1)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl.[N+](=O)(O)[O-],insoluble in H2O; insoluble in EtOH; ≥15.05 mg/mL in DMSO,Nitrate,Microbiology & Virology,Anti-infection,azole antifungal reagent,https://www.apexbt.com/search.php?catalog=B1956
B1957,Isoniazid,54-85-3,D01,L1021-14,137.14,DMSO,C6H7N3O,C1=CN=CC=C1C(=O)NN,insoluble in EtOH; ≥50.9 mg/mL in H2O; ≥6.3 mg/mL in DMSO,Free Base,Metabolism,Fatty Acid Synthase,antibiotic used for the treatment of tuberculosis,https://www.apexbt.com/search.php?catalog=B1957
B1959,Levofloxacin,100986-85-4,D02,L1021-14,361.37,DMSO,C18H20FN3O4,FC1=C(C2=C(C3=C1[H])N(C([H])=C(C(O[H])=O)C3=O)[[C@H](C([H])([H])[H])([H])C([H])([H])O2)N4C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C4([H])[H],insoluble in H2O; ≥11.4 mg/mL in DMSO; ≥2.82 mg/mL in EtOH with ultrasonic,Free Base,Microbiology & Virology,Antibiotic,synthetic fluoroquinolone antibiotic,https://www.apexbt.com/search.php?catalog=B1959
B1960,Levonorgestrel,797-63-7,D03,L1021-14,312.45,DMSO,C21H28O2,CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,insoluble in H2O; ≥13.8 mg/mL in DMSO; ≥2.44 mg/mL in EtOH with ultrasonic,Free Base,Endocrinology and Hormones,Estrogen/progestogen Receptor,Estrogen/progestogen receptor agonist,https://www.apexbt.com/search.php?catalog=B1960
B1961,Levosimendan,141505-33-1,D04,L1021-14,280.28,DMSO,C14H12N6O,CC1CC(=O)NN=C1C2=CC=C(C=C2)NN=C(C#N)C#N,insoluble in EtOH; insoluble in H2O; ≥9.75 mg/mL in DMSO,Free Base,Membrane Transporter/Ion Channel,Calcium Channel,calcium sensitiser,https://www.apexbt.com/search.php?catalog=B1961
B1962,Lincomycin HCl,859-18-7,D05,L1021-14,443,DMSO,C18H34N2O6S·HCl,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O.Cl,insoluble in EtOH; ≥35.3 mg/mL in H2O; ≥40.6 mg/mL in DMSO with ultrasonic,#N/A,,,lincosamide antibiotic,https://www.apexbt.com/search.php?catalog=B1962
B1963,Lomustine,13010-47-4,D06,L1021-14,233.7,DMSO,C9H16ClN3O2,C1CCC(CC1)NC(=O)N(CCCl)N=O,insoluble in H2O; ≥23.41 mg/mL in DMSO; ≥23.9 mg/mL in EtOH,Free Base,DNA Damage/DNA Repair,DNA Alkylating,Antineoplastic drug,https://www.apexbt.com/search.php?catalog=B1963
B1964,Lonidamine,50264-69-2,D07,L1021-14,321.16,DMSO,C15H10Cl2N2O2,C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)O,insoluble in H2O; insoluble in EtOH; ≥11.1 mg/mL in DMSO,Free Base,Others,Others,hexokinase inactivator,https://www.apexbt.com/search.php?catalog=B1964
B1965,Meglumine,6284-40-8,D08,L1021-14,195.21,DMSO,C7H17NO5,CNCC(C(C(C(CO)O)O)O)O,insoluble in EtOH; ≥5.8 mg/mL in DMSO; ≥54.7 mg/mL in H2O,Free Base,Others,Others,amino sugar,https://www.apexbt.com/search.php?catalog=B1965
B1966,Menadione,58-27-5,D09,L1021-14,172.18,DMSO,C11H8O2,CC1=CC(=O)C2=CC=CC=C2C1=O,insoluble in H2O; ≥5.15 mg/mL in DMSO; ≥9.86 mg/mL in EtOH with ultrasonic,Free Base,Others,"DNA/RNA Synthesis,phosphatase",precursor to vitamin K2,https://www.apexbt.com/search.php?catalog=B1966
B1967,Mepivacaine HCl,1722-62-9,D10,L1021-14,282.81,DMSO,C15H22N2O·HCl,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C.Cl,≥10.2 mg/mL in EtOH with ultrasonic; ≥24.2 mg/mL in DMSO; ≥5.8 mg/mL in H2O,Hydrochloride,Membrane Transporter/Ion Channel,Sodium Channel,local anesthetic,https://www.apexbt.com/search.php?catalog=B1967
B1968,Mequinol,150-76-5,D11,L1021-14,124.14,DMSO,C7H8O2,COC1=CC=C(C=C1)O,≥24.25 mg/mL in EtOH; ≥27.25 mg/mL in H2O; ≥6.2 mg/mL in DMSO,Free Base,Others,Others,depigmentation agent,https://www.apexbt.com/search.php?catalog=B1968
B1969,Mesalamine,89-57-6,E01,L1021-14,153.14,DMSO,C7H7NO3,C1=CC(=C(C=C1N)C(=O)O)O,insoluble in EtOH; insoluble in H2O; ≥7.65 mg/mL in DMSO,Free Base,Immunology/Inflammation,PGE synthase,IKK inhibitor,https://www.apexbt.com/search.php?catalog=B1969
B1970,Metformin HCl,1115-70-4,E02,L1021-14,165.62,DMSO,C4H12ClN5,CN(C)C(=N)N=C(N)N.Cl,insoluble in EtOH; ≥30.7 mg/mL in H2O; ≥8.3 mg/mL in DMSO,Hydrochloride,Others,Others,Anti-diabetic drug,https://www.apexbt.com/search.php?catalog=B1970
B1971,Methacycline HCl,3963-95-9,E03,L1021-14,478.88,DMSO,C22H22N2O8·HCl,CN(C)C1C2C(C3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O.Cl,insoluble in EtOH; ≥51.73 mg/mL in DMSO; ≥7.09 mg/mL in H2O,,Microbiology & Virology,Anti-infection,tetracycline antibiotic,https://www.apexbt.com/search.php?catalog=B1971
B1972,Methenamine,100-97-0,E04,L1021-14,140.19,DMSO,C6H12N4,[H]C1([H])N(C2([H])[H])C([H])([H])N3C([H])([H])N2C([H])([H])N1C3([H])[H],≥2.56 mg/mL in EtOH with gentle warming and ultrasonic; ≥2.83 mg/mL in DMSO; ≥57.4 mg/mL in H2O,Free Base,Microbiology & Virology,Anti-infection,antibiotic,https://www.apexbt.com/search.php?catalog=B1972
B1974,Methylthiouracil,56-04-2,E05,L1021-14,142.18,DMSO,C5H6N2OS,CC1=CC(=O)NC(=S)N1,insoluble in EtOH; insoluble in H2O; ≥6.65 mg/mL in DMSO,Free Base,Others,Others,antithyroid preparation,https://www.apexbt.com/search.php?catalog=B1974
B1975,Metolazone,17560-51-9,E06,L1021-14,365.83,DMSO,C16H16ClN3O3S,ClC1=C(C=C2C(NC(C)N(C3=CC=CC=C3C)C2=O)=C1)S(=O)(N)=O,insoluble in H2O; ≥108.2 mg/mL in DMSO; ≥3.31 mg/mL in EtOH with ultrasonic,,Others,Others,thiazide-like diuretic,https://www.apexbt.com/search.php?catalog=B1975
B1976,Metronidazole,443-48-1,E07,L1021-14,171.15,DMSO,C6H9N3O3,CC1=NC=C(N1CCO)[N+](=O)[O-],≥11.54 mg/mL in EtOH with ultrasonic; ≥3.13 mg/mL in H2O with ultrasonic; ≥8.55 mg/mL in DMSO,Free Base,DNA Damage/DNA Repair,DNA/RNA Synthesis,nitroimidazole antibiotic,https://www.apexbt.com/search.php?catalog=B1976
B1977,Miconazole,22916-47-8,E08,L1021-14,416.13,DMSO,C18H14Cl4N2O,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,insoluble in H2O; ≥115.8 mg/mL in EtOH; ≥16.2 mg/mL in DMSO,Free Base,Microbiology & Virology,Anti-infection,imidazole antifungal agent,https://www.apexbt.com/search.php?catalog=B1977
B1978,Miconazole Nitrate,22832-87-7,E09,L1021-14,479.14,DMSO,C18H14Cl4N2O·HNO3,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl.[N+](=O)(O)[O-],≥23.65 mg/mL in DMSO; insoluble in H2O; ≥2.64 mg/mL in EtOH with gentle warming and ultrasonic,Nitrate,Microbiology & Virology,Anti-infection,Antifungal agent,https://www.apexbt.com/search.php?catalog=B1978
B1979,Mometasone furoate,83919-23-7,E10,L1021-14,521.43,DMSO,C27H30Cl2O6,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C,insoluble in H2O; ≥14.25 mg/mL in DMSO; ≥5.46 mg/mL in EtOH with ultrasonic,Furoate,GPCR/G protein,Glucocorticoid Receptor,glucocorticoid receptor agonist,https://www.apexbt.com/search.php?catalog=B1979
B1980,Moroxydine HCl,3160-91-6,E11,L1021-14,207.66,DMSO,C6H13N5O·HCl,C1COCCN1C(=N)N=C(N)N.Cl,≥52.2 mg/mL in H2O; ≥6.65 mg/mL in DMSO; ≥8.73 mg/mL in EtOH with ultrasonic,Hydrochloride,Microbiology & Virology,Anti-infection,synthetic antiviral compound,https://www.apexbt.com/search.php?catalog=B1980
B1981,Mycophenolic acid,24280-93-1,F01,L1021-14,320.34,DMSO,C17H20O6,CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)O)OC,insoluble in H2O; ≥10.85 mg/mL in DMSO; ≥19.2 mg/mL in EtOH with ultrasonic,Free Base,Metabolism,Dehydrogenase,Dehydrogenase inhibitor,https://www.apexbt.com/search.php?catalog=B1981
B1982,Nadifloxacin,124858-35-1,F02,L1021-14,360.38,DMSO,C19H21FN2O4,FC1=C(C2=C(C3=C1[H])N(C([H])=C(C(O[H])=O)C3=O)C(C([H])([H])[H])([H])C([H])([H])C2([H])[H])N(C([H])([H])C4([H])[H])C([H])([H])C([H])([H])C4([H])O[H],insoluble in H2O; insoluble in EtOH; ≥14.3 mg/mL in DMSO ,Free Base,Microbiology & Virology,Anti-infection,topical fluoroquinolone antibiotic,https://www.apexbt.com/search.php?catalog=B1982
B1983,Nafcillin Sodium,7177-50-6,F03,L1021-14,454.47,DMSO,C21H21N2O5S·H2O·Na,CCOC1=C(C2=CC=CC=C2C=C1)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].O.[Na+],≥15.5 mg/mL in DMSO; ≥19.63 mg/mL in EtOH with ultrasonic; ≥46.1 mg/mL in H2O,Free Base,Microbiology & Virology,Anti-infection,"narrow-spectrum, beta-lactam antibiotic",https://www.apexbt.com/search.php?catalog=B1983
B1984,Naftifine HCl,65473-14-5,F04,L1021-14,323.86,DMSO,C21H21N·HCl,CN(CC=CC1=CC=CC=C1)CC2=CC=CC3=CC=CC=C32.Cl,≥32.4 mg/mL in DMSO with gentle warming; insoluble in H2O; ≥17.23 mg/mL in EtOH with ultrasonic,,Microbiology & Virology,Fungal,Allylamine antifungal agent,https://www.apexbt.com/search.php?catalog=B1984
B1985,Nalidixic acid,389-08-2,F05,L1021-14,232.24,DMSO,C12H12N2O3,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,insoluble in EtOH; insoluble in H2O; ≥9.45 mg/mL in DMSO with gentle warming,Free Base,DNA Damage/DNA Repair,Topoisomerase,synthetic quinolone antibiotic,https://www.apexbt.com/search.php?catalog=B1985
B1986,Nedaplatin,95734-82-0,F06,L1021-14,303.17,H2O,C2H8N2O3Pt,C(C(=O)O)O.[NH2-].[NH2-].[Pt+2],insoluble in DMSO; insoluble in EtOH; ≥9.8 mg/mL in H2O,Free Base,GPCR/G protein,Adrenergic Receptor,DNA synthesis inhibitor,https://www.apexbt.com/search.php?catalog=B1986
B1987,Nicotinic Acid,59-67-6,F07,L1021-14,123.11,DMSO,C6H5NO2,C1=CC(=CN=C1)C(=O)O,insoluble in H2O; insoluble in EtOH; ≥5.95 mg/mL in DMSO,Free Base,Others,Others,water-soluble vitamin belonging to the vitamin B family,https://www.apexbt.com/search.php?catalog=B1987
B1988,Nifedipine,21829-25-4,F08,L1021-14,346.33,DMSO,C17H18N2O6,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,insoluble in H2O; ≥15.75 mg/mL in DMSO; ≥7.14 mg/mL in EtOH with ultrasonic,Free Base,Membrane Transporter/Ion Channel,Calcium Channel,L-type calcium channel blocker,https://www.apexbt.com/search.php?catalog=B1988
B1989,Nisoldipine,63675-72-9,F09,L1021-14,388.41,DMSO,C20H24N2O6,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,insoluble in H2O; ≥10.62 mg/mL in EtOH; ≥11.55 mg/mL in DMSO,Free Base,Membrane Transporter/Ion Channel,Calcium Channel,calcium channel blocker,https://www.apexbt.com/search.php?catalog=B1989
B1990,Noradrenaline bitartrate monohydrate,108341-18-0,F10,L1021-14,337.28,DMSO,C8H11NO3·C4H6O6·H2O,C1=CC(=C(C=C1C(CN)O)O)O.C(C(C(=O)O)O)(C(=O)O)O.O,insoluble in EtOH; ≥11.35 mg/mL in DMSO; ≥51 mg/mL in H2O,Monohydrate,GPCR/G protein,Adrenergic Receptor,Adrenergic receptor agonist,https://www.apexbt.com/search.php?catalog=B1990
B1991,Norethindrone,68-22-4,F11,L1021-14,298.42,DMSO,C20H26O2,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,insoluble in EtOH; insoluble in H2O; ≥13.55 mg/mL in DMSO,Free Base,Others,Others,synthetic progestin,https://www.apexbt.com/search.php?catalog=B1991
B1992,Novobiocin Sodium,1476-53-5,G01,L1021-14,634.61,DMSO,C31H35N2O11·Na,CC1=C(C=CC2=C1OC(=O)C(=C2O)NC(=O)C3=CC(=C(C=C3)[O-])CC=C(C)C)OC4C(C(C(C(O4)(C)C)OC)OC(=O)N)O.[Na+],≥29.35 mg/mL in DMSO; ≥15.3 mg/mL in H2O; ≥26.9 mg/mL in EtOH,,DNA Damage/DNA Repair,Topoisomerase,aminocoumarin antibiotic,https://www.apexbt.com/search.php?catalog=B1992
B1993,Nystatin (Fungicidin),1400-61-9,G02,L1021-14,926.09,DMSO,C47H75NO17,CC1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,≥30.45 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Free Base,Microbiology & Virology,Antibiotic,antifungal antibiotic,https://www.apexbt.com/search.php?catalog=B1993
B1995,"(+,-)-Octopamine HCl",770-05-8,G03,L1021-14,189.64,DMSO,C8H11NO2·HCl,C1=CC(=CC=C1C(CN)O)O.Cl,≥10.98 mg/mL in EtOH with ultrasonic; ≥44.8 mg/mL in H2O; ≥9.48 mg/mL in DMSO,Hydrochloride,Neuroscience,Dopamine Receptor,adrenoceptor agonist,https://www.apexbt.com/search.php?catalog=B1995
B1996,Ornidazole,16773-42-5,G04,L1021-14,219.63,DMSO,C7H10ClN3O3,CC1=NC=C(N1CC(CCl)O)[N+](=O)[O-],≥10.66 mg/mL in H2O; ≥11 mg/mL in DMSO; ≥48.1 mg/mL in EtOH,Free Base,Microbiology & Virology,Anti-infection,anti-bacterial and anti-protozoal drug,https://www.apexbt.com/search.php?catalog=B1996
B1997,Oxacillin sodium monohydrate,7240-38-2,G05,L1021-14,441.43,DMSO,C19H18N3O5S·Na·H2O,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].O.[Na+],insoluble in EtOH; ≥11.55 mg/mL in H2O; ≥16.9 mg/mL in DMSO,sodium,Microbiology & Virology,Anti-infection,an antibiotic used in resistant staphylococci infections,https://www.apexbt.com/search.php?catalog=B1997
B1998,Oxfendazole,53716-50-0,G06,L1021-14,315.35,DMSO,C15H13N3O3S,COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3,insoluble in EtOH; insoluble in H2O; ≥15.75 mg/mL in DMSO,Free Base,Microbiology & Virology,Anti-infection,broad spectrum benzimidazole anthelmintic,https://www.apexbt.com/search.php?catalog=B1998
B1999,Oxibendazole,20559-55-1,G07,L1021-14,249.27,DMSO,C12H15N3O3,CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,insoluble in EtOH; insoluble in H2O; ≥2.49 mg/mL in DMSO,,Microbiology & Virology,Anti-infection,,https://www.apexbt.com/search.php?catalog=B1999
B2000,Oxytetracycline (Terramycin),79-57-2,G08,L1021-14,460.43,DMSO,C22H24N2O9,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,insoluble in EtOH; insoluble in H2O; ≥15.55 mg/mL in DMSO,Free Base,Microbiology & Virology,Antibiotic,broad-spectrum tetracycline antibiotic,https://www.apexbt.com/search.php?catalog=B2000
B2001,Oxytetracycline Dihydrate,6153-64-6,G09,L1021-14,496.46,DMSO,C22H24N2O9·2H2O,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.O.O,insoluble in H2O; insoluble in EtOH; ≥18.4 mg/mL in DMSO with gentle warming,Dihydrate,Microbiology & Virology,Anti-infection,prescription antibiotic,https://www.apexbt.com/search.php?catalog=B2001
B2003,Pefloxacin Mesylate,70458-95-6,G10,L1021-14,429.46,DMSO,C18H24FN3O6S,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O.CS(=O)(=O)O,insoluble in EtOH; ≥53.5 mg/mL in H2O; ≥6.83 mg/mL in DMSO,Mesylate,Microbiology & Virology,Antibiotic,synthetic chemotherapeutic agent_ antibacterial agent,https://www.apexbt.com/search.php?catalog=B2003
B2004,Phenylbutazone,50-33-9,G11,L1021-14,308.37,DMSO,C19H20N2O2,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,insoluble in H2O; ≥11.55 mg/mL in DMSO; ≥6.41 mg/mL in EtOH with ultrasonic,Free Base,Others,Others,non-steroidal anti-inflammatory agent,https://www.apexbt.com/search.php?catalog=B2004
B2005,Pidotimod,121808-62-6,H01,L1021-14,244.27,DMSO,C9H12N2O4S,C1CC(=O)NC1C(=O)N2CSCC2C(=O)O,insoluble in EtOH; ≥10.5 mg/mL in H2O with ultrasonic; ≥11.3 mg/mL in DMSO,Free Base,Immunology/Inflammation,,immunostimulant,https://www.apexbt.com/search.php?catalog=B2005
B2007,Pizotifen Malate,5189-11-7,H02,L1021-14,429.53,DMSO,C23H27NO5S,CN1CCC(=C2C3=C(CCC4=CC=CC=C42)SC=C3)CC1.C(C(C(=O)O)O)C(=O)O,≥21.48 mg/mL in DMSO; insoluble in EtOH; insoluble in H2O,Malate,Neuroscience,5-HT Receptor,5-HT receptor antagonist,https://www.apexbt.com/search.php?catalog=B2007
B2008,Potassium Iodide,7681-11-0,H03,L1021-14,166,DMSO,K+I-,[K+].[I-],≥3.71 mg/mL in EtOH with gentle warming and ultrasonic; ≥4.7 mg/mL in DMSO; ≥69.4 mg/mL in H2O,Inorganic salt,Others,Others,metal halide with thyroid protecting and expectorant properties,https://www.apexbt.com/search.php?catalog=B2008
B2009,Pranlukast,103177-37-3,H04,L1021-14,481.5,DMSO,C27H23N5O4,C1=CC=C(C=C1)CCCCOC2=CC=C(C=C2)C(=O)NC3=CC=CC4=C3OC(=CC4=O)C5=NNN=N5,insoluble in EtOH; insoluble in H2O; ≥13.8 mg/mL in DMSO,Free Base,Immunology/Inflammation,Leukotriene Receptor,"selective antagonist of the cysteinyl leukotrienes (LT) C(4), LTD(4) and LTE(4),",https://www.apexbt.com/search.php?catalog=B2009
B2010,Pranoprofen,52549-17-4,H05,L1021-14,255.27,DMSO,C15H13NO3,CC(C1=CC2=C(C=C1)OC3=C(C2)C=CC=N3)C(=O)O,insoluble in H2O; ≥11.5 mg/mL in DMSO; ≥2.23 mg/mL in EtOH with gentle warming and ultrasonic,,Neuroscience,COX,non-steroidal COX inhibitor,https://www.apexbt.com/search.php?catalog=B2010
B2011,Praziquantel,55268-74-1,H06,L1021-14,312.41,DMSO,C19H24N2O2,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,insoluble in H2O; ≥14.35 mg/mL in DMSO; ≥30.35 mg/mL in EtOH,Free Base,Microbiology & Virology,Antibiotic,anthelmintic,https://www.apexbt.com/search.php?catalog=B2011
B2012,Prednisolone,50-24-8,H07,L1021-14,360.44,DMSO,C21H28O5,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,insoluble in H2O; ≥11.9 mg/mL in DMSO; ≥3.25 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,GPCR/G protein,Glucocorticoid Receptor,synthetic glucocorticoid,https://www.apexbt.com/search.php?catalog=B2012
B2013,Prednisolone Acetate,52-21-1,H08,L1021-14,402.48,DMSO,C23H30O6,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O,insoluble in H2O; ≥10.95 mg/mL in DMSO; ≥2.57 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,GPCR/G protein,Glucocorticoid Receptor,synthetic corticosteroid drug,https://www.apexbt.com/search.php?catalog=B2013
B2014,Probenecid,57-66-9,H09,L1021-14,285.36,DMSO,C13H19NO4S,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,insoluble in H2O; ≥13.66 mg/mL in EtOH; ≥8.7 mg/mL in DMSO,Free Base,Membrane Transporter/Ion Channel,TRPV,"inhibitor of organic anion transport, MRP and pannexin-1 channel",https://www.apexbt.com/search.php?catalog=B2014
B2015,Probucol,23288-49-5,H10,L1021-14,516.84,DMSO,C31H48O2S2,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)SC(C)(C)SC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,insoluble in H2O; ≥17.45 mg/mL in DMSO; ≥64.2 mg/mL in EtOH,Free Base,Metabolism,LDL,"Antioxidant, anti-inflammatory and hypocholesterolemic agent",https://www.apexbt.com/search.php?catalog=B2015
B2016,Protionamide,14222-60-7,H11,L1021-14,180.27,DMSO,C9H12N2S,CCCC1=NC=CC(=C1)C(=S)N,insoluble in H2O; ≥5.95 mg/mL in DMSO; ≥54.5 mg/mL in EtOH,Free Base,Microbiology & Virology,Anti-infection,thioamide derivative with antitubercular activity,https://www.apexbt.com/search.php?catalog=B2016
B2017,Pyridoxine HCl,58-56-0,A01,L1021-15,205.64,DMSO,C8H11NO3 ·HCl,CC1=NC=C(C(=C1O)CO)CO.Cl,insoluble in EtOH; ≥50.3 mg/mL in H2O; ≥9.3 mg/mL in DMSO,Hydrochloride,Metabolism,Vitamin,a form of vitamin B6,https://www.apexbt.com/search.php?catalog=B2017
B2018,Rebamipide,90098-04-7,A02,L1021-15,370.79,DMSO,C19H15ClN2O4,C1=CC=C2C(=C1)C(=CC(=O)N2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl,insoluble in H2O; insoluble in EtOH; ≥10.25 mg/mL in DMSO,Free Base,Others,Others,cholecystokinin type 1 (CCK1) receptor inhibitor,https://www.apexbt.com/search.php?catalog=B2018
B2019,Retapamulin,224452-66-8,A03,L1021-15,517.76,DMSO,C30H47NO4S,O[[C@H]([[C@H](C)(C=C)C1)[[C@H](C)[[C@H]2(CCC3=O)[[C@H]3([H])[[C@H@]([[C@@H]1OC(CSC4C[[C@H](CC5)([H])N(C)[[C@H]5([H])C4)=O)(C)[[C@H](C)CC2,insoluble in H2O; ≥114.8 mg/mL in EtOH; ≥16.15 mg/mL in DMSO,Free Base,Microbiology & Virology,Antibiotic,"Pleuromutilin antibiotic,protein synthesis inhibitor",https://www.apexbt.com/search.php?catalog=B2019
B2021,Rifampin,13292-46-1,A04,L1021-15,822.94,DMSO,C43H58N4O12,O[[C@H]([[C@H](C)[[C@H]([[C@H](/C=C/C=C(C)/C(NC1=C2O)=O)C)O)[[C@@H](C)[[C@@H]([[C@H](C)[[C@H](/C=C/O[[C@H@]3(C)OC4=C(C)C(O)=C2C(C(/C1=C/NN5CCN(C)CC5)=O)=C4C3=O)OC)OC(C)=O,≥26.25 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Microbiology & Virology,Antibiotic,DNA-dependent RNA polymerase inhibitor,https://www.apexbt.com/search.php?catalog=B2021
B2022,Ronidazole,7681-76-7,A05,L1021-15,200.15,DMSO,C6H8N4O4,CN1C(=CN=C1COC(=O)N)[N+](=O)[O-],insoluble in H2O; insoluble in EtOH; ≥6.5 mg/mL in DMSO,Free Base,Microbiology & Virology,Anti-infection,antiprotozoal agent,https://www.apexbt.com/search.php?catalog=B2022
B2023,Ropivacaine HCl,98717-15-8,A06,L1021-15,310.86,DMSO,C17H26N2O·HCl,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.Cl,≥10.1 mg/mL in H2O; ≥42.6 mg/mL in DMSO; ≥50.2 mg/mL in EtOH,Hydrochloride,Membrane Transporter/Ion Channel,Sodium Channel,Sodium channel inhibitor,https://www.apexbt.com/search.php?catalog=B2023
B2024,Roxithromycin,80214-83-1,A07,L1021-15,837.06727,DMSO,C41H76N2O15,CCC1C(C(C(C(=NOCOCCOC)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,≥27.75 mg/mL in DMSO; insoluble in H2O; ≥44.9 mg/mL in EtOH,Free Base,Microbiology & Virology,Anti-infection,semi-synthetic macrolide antibiotic,https://www.apexbt.com/search.php?catalog=B2024
B2026,Sodium Nitroprusside,14402-89-2,A08,L1021-15,261.92,DMSO,C5FeN6Na2O,N#C[Fe-2](N=O)(C#N)(C#N)(C#N)C#N.[Na+].[Na+],insoluble in EtOH; ≥11.2 mg/mL in DMSO; ≥51.6 mg/mL in H2O,Free Base,Others,Others,nitric oxide (NO) donor,https://www.apexbt.com/search.php?catalog=B2026
B2027,Sodium Picosulfate,10040-45-6,A09,L1021-15,481.41,DMSO,C18H15NO8S2·2Na,C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)[O-])C3=CC=C(C=C3)OS(=O)(=O)[O-].[Na+].[Na+],≥13.05 mg/mL in DMSO; ≥2.69 mg/mL in EtOH; ≥50.3 mg/mL in H2O,Sodium Salt,Others,Others,laxative,https://www.apexbt.com/search.php?catalog=B2027
B2028,Sodium salicylate,54-21-7,A10,L1021-15,160.1,DMSO,C7H5NaO3,C1=CC=C(C(=C1)C(=O)[O-])O.[Na+],≥14.63 mg/mL in EtOH with ultrasonic; ≥64.8 mg/mL in H2O; ≥7.1 mg/mL in DMSO,Salicylate,Immunology/Inflammation,NF-_B,NF-_B inhibitor,https://www.apexbt.com/search.php?catalog=B2028
